"","v","type","claw","dist","age"
"1","Thermo KC B_left - mbi2 - unknown #7187384","KC",3,0,"mature"
"2","KC no pair #4412036","KC",1,3616.75758,"mature"
"3","KC65;_42a left #5937084","KC",1,1691.43635,"mature"
"4","KC42 #11725803","KC",1,1921.15727,"mature"
"5","LON KC left #8262372","KC",3,2398.75281,"mature"
"6","KC13 #14898816","KC",1,970.61791,"mature"
"7","Thermo KC A_Left   -   Mushroom Body  Right #8118474","KC",2,723.98668,"mature"
"8","KC no pair #16435965","KC",2,5438.01593,"mature"
"9","KC17 #11691603","KC",1,6621.74467,"mature"
"10","KC14 #16039470","KC",2,1921.15727,"mature"
"11","KC78? #16631114","KC",1,4453.98081,"mature"
"12","KC no pair #4411505","KC",2,611.92376,"mature"
"13","KC no pair #16627861","KC",2,611.92376,"mature"
"14","KC no pair #15721919","KC",2,5917.09195,"mature"
"15","KC21 #8262302","KC",1,0,"mature"
"16","KC90 #16977881","KC",1,5917.09195,"mature"
"17","KC no pair #16630385","KC",2,5438.01593,"mature"
"18","KC100 #16058860","KC",1,6095.89922,"mature"
"19","KC49? #16627838","KC",1,6489.50302,"mature"
"20","KC12 #11725127","KC",1,0,"mature"
"21","KC34 #16629788","KC",1,0,"mature"
"22","KC no pair #4518546","KC",1,3112.96022,"mature"
"23","KC no pair #8262503","KC",2,1691.43635,"mature"
"24","KC72 #4117305","KC",1,2370.94197,"mature"
"25","KC no pair #16627773","KC",4,6489.50302,"mature"
"26","KC no pair #8865199","KC",3,1986.87073,"mature"
"27","KC54 #6704232","KC",4,6489.50302,"mature"
"28","KC2/24 #4412315","KC",2,3616.75758,"mature"
"29","KC no pair #16444327","KC",3,1271.28436,"mature"
"30","KC22 #16630941","KC",3,3239.37646,"mature"
"31","KC no pair #17147410","KC",4,1174.50239,"mature"
"32","KC no pair #8513389","KC",2,8568.148237,"mature"
"33","KC16 #12726582","KC",2,4985.0641,"mature"
"34","KC82 #15722867","KC",1,1921.15727,"mature"
"35","KC no pair #14898295","KC",4,7585.62238,"mature"
"36","KC no pair #12217572","KC",3,7013.19917,"mature"
"37","KC25 #16630264","KC",1,5738.28468,"mature"
"38","KC no pair #4134539","KC",4,2746.16441,"mature"
"39","KC no claws #15691114","KC",6,7585.62238,"mature"
"40","KC no pair #8263285","KC",3,2398.75281,"mature"
"41","KC no pair #16631248","KC",2,1921.15727,"mature"
"42","KC67 #16939375","KC",3,1921.15727,"mature"
"43","KC no claws #16627950","KC",5,7013.19917,"mature"
"44","KC no pair #11785627","KC",4,2746.16441,"mature"
"45","KC no pair #8393981","KC",2,2956.61278,"mature"
"46","KC no pair #14522124","KC",4,7585.62238,"mature"
"47","KC no pair #8864096","KC",5,222.42598,"mature"
"48","KC no pair #16210988","KC",4,7013.19917,"mature"
"49","KC no pair #8177991","KC",4,7013.19917,"mature"
"50","KC no pair #14460113","KC",3,6489.50302,"mature"
"51","KC no pair #8263140","KC",4,1888.42455,"mature"
"52","KC no pair #16015738","KC",4,11171.51849,"mature"
"53","KC no pair #16017113","KC",5,11062.59494,"mature"
"54","KC no pair #16440649","KC",3,2746.16441,"mature"
"55","KC no pair #16631222","KC",3,8807.936637,"mature"
"56","KC no pair #15861524","KC",4,10157.52292,"mature"
"57","KC no pair #14319960","KC",4,4842.14512,"mature"
"58","KC no pair #6702830","KC",4,10157.52292,"mature"
"59","KC no pair #9983191","KC",5,1921.15727,"mature"
"60","KC no pair #16629757","KC",4,7442.63643,"mature"
"61","KC no pair #16629931","KC",4,9056.756874,"mature"
"62","KC no pair #14519048","KC",4,6489.50302,"mature"
"63","KC no pair #3819171","KC",4,10157.52292,"mature"
"64","KC no pair #16440704","KC",6,4121.53693,"mature"
"65","KC no pair #3819157","KC",4,6489.50302,"mature"
"66","KC young no claws #15788431","KC",0,9926.092929,"young"
"67","KC no pair #16438190","KC",5,611.92376,"mature"
"68","KC no claws #14255342","KC",3,4218.9635,"mature"
"69","KC no pair #8248706","KC",5,11062.59494,"mature"
"70","KC no claws #11691640","KC",6,6489.50302,"mature"
"71","KC no pair #16630024","KC",4,10157.52292,"mature"
"72","KC no pair #15734988","KC",3,0,"mature"
"73","KC no claws #8318678","KC",6,6569.54063,"mature"
"74","KC no claws #15722306","KC",3,4879.99413,"mature"
"75","KC young no claws #10455234","KC",0,6489.50302,"young"
"76","KC young no claws #16448979","KC",0,8807.936637,"young"
"77","KC young no claws #16220042","KC",0,1921.15727,"young"
"78","KC young no claws #15764960","KC",0,11062.59494,"young"
"79","KC young no claw #15691118","KC",0,7916.064646,"young"
"80","KC young #16628000","KC",0,7916.064646,"young"
"81","KC young no claws #16448930","KC",0,10869.78394,"young"
"82","KC young #15691122","KC",0,7916.064646,"young"
"83","KC young no claws #16448971","KC",0,6489.50302,"young"
"84","KC young #16464614","KC",0,10503.80295,"young"
"85","KC young #16053670","KC",0,0,"young"
"86","KC young #16435406","KC",0,0,"young"
"87","KC young #16448983","KC",0,0,"young"
"88","KC young #16448954","KC",0,6489.50302,"young"
"89","KC young #16026042","KC",0,8807.936637,"young"
"90","KC young #15734666","KC",0,11654.76287,"young"
"91","KC young #15828093","KC",0,8035.213293,"young"
